,Name,Country,revid,0,Population,article_quality
22379,Iacopo Rusticucci,Italy,798008625,Stub,62466780,Stub
22380,Galla Gaulo,Italy,798008704,Stub,62466780,Stub
22381,Pietro Participazio,Italy,798008894,Stub,62466780,Stub
22382,Roberto Mura,Italy,798008935,Stub,62466780,Stub
22383,Cola di Rienzo,Italy,798027747,C,62466780,C
22384,Annalisa Minetti,Italy,798036289,Start,62466780,Start
22385,Marino Busdachin,Italy,798056205,Start,62466780,Start
22386,Pellegrino Rossi,Italy,798064916,C,62466780,C
22387,Claudio Gabriele de Launay,Italy,798081255,Stub,62466780,Stub
22388,Bartolomeo Arese,Italy,798144016,Stub,62466780,Stub
22389,List of Italian religious minority politicians,Italy,798200492,B,62466780,B
22390,Ernesto Nathan,Italy,798272218,Start,62466780,Start
22391,Arno Kompatscher,Italy,798425025,Stub,62466780,Stub
22392,Veronica Gambara,Italy,798477314,C,62466780,C
22393,Adriana Seroni,Italy,798490992,Start,62466780,Start
22394,Clara Sereni,Italy,798492544,Start,62466780,Start
22395,Giovanni De Andrea,Italy,798575514,Start,62466780,Start
22396,Leo Negrelli,Italy,798619891,Start,62466780,Start
